HB Population;436772;113320;;;
TR InitialTripLength;0.993799957;5.719549309;13.70258984;;
;1.649944013;6.786485894;26.39949463;;
TR InitialTripRate internal;0.053803841;0.010031393;0.045166865;0.0081743;0.444160633
;0.411726934;0.098982613;0.337763626;0.010761575;0.078466005
;0.205819091;0.042649515;0.173491533;0.000901984;5.28652E-08
TR InitialTripRate origin destination;0.001382669;0.000267208;0.001649848;0.000210527;0.008027336
;0.167456967;0.036955099;0.265295936;0.001888521;0.010288415
;1.505354624;0.295876048;1.40113854;0.003374393;6.39979E-06
TR InitialTravelSpeed internal;4.827300479;4.996112655;4.637179798;12.37711409;4.630704888
;13.56955874;13.43467681;10.1452391;11.6817183;4.378480368
;20.42536667;20.46145732;14.18191382;11.54904423;4.130219327
TR InitialTravelSpeed origin destination;6.768238522;6.76171463;3.750591121;14.12822434;5.415632737
;17.3686944;17.24267216;6.448048122;12.48419053;4.884849543
;29.15371155;29.0770918;18.14241815;11.70668359;4.227508913
